id,model,icon,icon_big,picture,x_para,y_para,name,desc,cost_energy,life_time,death_time,drop_client,search_show,super_Rally_cost,model_size,search_order,personal_honor,reward_res_show
13,Effect_hagendasi_boss,image/icon_army/Effect_hagendasi_boss,image/world_unit/Effect_hagendasi_boss,image/world_unit/Effect_hagendasi_boss,,,monster_name013,monster_desc013,5,3600,10,3300001,0,20,1,0,,
501,PrefabNewEnemy1,image/world_unit/defender_monster_1,image/world_unit/defender_monster_1,image/world_unit/defender_monster_1,,,Evil mecha,Elite member led by Head of Darkness,5,10790,10,3300001,0,20,1,0,,
502,PerfabAllianceDefendEnemy,image/icon_army/AllianceDefendEnemy,image/icon_army/AllianceDefendEnemy,image/icon_army/AllianceDefendEnemy,,,Dr. Evil,After the weakening progress is over, the weakening will take effect on the current wave,5,10790,10,3300001,0,20,1,0,,
101,PrefabWmEnemy1,image/icon_army/boss1,image/world_unit/boss1_big,image/world_unit/boss1_big,23,-9,Common Guard - SPD,This guard is strong in Dodge. Recommend: Components or hero skills to raise the [Hit].,5,3600,10,9800001|323001|3300001|1600029,0,5,1,0,,
102,PrefabWmEnemy1,image/icon_army/boss1,image/world_unit/boss1_big,image/world_unit/boss1_big,23,-9,Common Guard - AMR,This guard is strong in Defense. Recommend: Components or hero skills to raise the [Crit. Chance].,5,3600,10,9800001|323001|3300001|1600029,0,5,1,0,,
103,PrefabWmEnemy2,image/icon_army/boss2,image/world_unit/boss2_big,image/world_unit/boss2_big,23,-16,Common Guard - Headless,Fear hero. Hero skills can cause a huge amount of damage to it.,5,3600,10,9800001|323001|3300001|1600029,0,5,1,0,,
104,PrefabWmEnemy2,image/icon_army/boss2,image/world_unit/boss2_big,image/world_unit/boss2_big,23,-16,Common Guard – Holes,You need a minimum number of march units to carry out this attack.,5,3600,10,9800001|323001|3300001|1600029,0,5,1,0,,
105,PrefabWmEnemy3,image/icon_army/boss3,image/world_unit/boss3_big,image/world_unit/boss3_big,32,-32,Common Guard – Evolution,Very adaptable. When it is attacked by the same unit multiple times in a row, the damage will be reduced.,5,3600,10,9800001|323001|3300001|1600029,0,5,1,0,,
106,PrefabWmEnemy3,image/icon_army/boss3,image/world_unit/boss3_big,image/world_unit/boss3_big,32,-32,Common Guard – Sacrifice,Self-detonate. If you fail to defeat it within certain rounds, it will blow itself and cause a lot of damage to you.,5,3600,10,9800001|323001|3300001|1600029,0,5,1,0,,
201,PrefabWmBoss5,image/icon_army/boss_navy,image/world_unit/boss_navy,image/world_unit/boss_navy,,,Rare Treasure Guard,Extremely high attack speed. Each attack can cause damage to all enemy units. Extremely powerful!,15,3600,10,1600029|5200002|5100305,0,20,2,0,,
211,PrefabWmBoss6,image/icon_army/boss_navy,image/world_unit/boss_navy,image/world_unit/boss_navy,,,Common Treasure Guard,A Mechanical Treasure Guard who guards the treasure. Beat it to get a lot of rewards!,10,1800,10,1600029|5200002|5100305,0,20,2,0,,
212,PrefabWmBoss6,image/icon_army/boss_navy,image/world_unit/boss_navy,image/world_unit/boss_navy,,,Uncommon Treasure Guard,A Mechanical Treasure Guard who guards the treasure. Beat it to get a lot of rewards!,10,1800,10,1600029|5200002|5100305,0,20,2,0,,
213,PrefabWmBoss6,image/icon_army/boss_navy,image/world_unit/boss_navy,image/world_unit/boss_navy,,,Rare Treasure Guard,A Mechanical Treasure Guard who guards the treasure. Beat it to get a lot of rewards!,10,1800,10,1600029|5200002|5100305,0,20,2,0,,
301,PrefabWmMine,image/icon_army/mine,image/world_unit/mine,image/world_unit/mine,,,Treasure cave,A secret location that the Dark Legion buried treasure. A huge amount of precious items here!,50,3600,10,500001|520001|2400005|1600029,0,20,1,0,,
701,PrefabNewEnemy1,image/world_unit/defender_monster_1,image/world_unit/defender_monster_1,image/world_unit/defender_monster_1,,,Dark Legion,Elite member led by Head of Darkness,0,86390,10,0,0,0,1,0,0.0,
27,PrefabWmEnemy3,image/icon_army/boss3,image/world_unit/boss3_big,image/world_unit/boss3_big,10,-32,105721,112215,5,10790,10,320001|321001|322001|323001,0,5,1,0,,
60101,PrefabWmBoss3,image/icon_army/yurenboss,image/icon_army/yurenboss_search,image/icon_army/yurenboss_search,23,-9,Dark Mech,The Mech is the scientific research achievement in the Eternal Land. You can get Individual honor and rewards when attacking,5,10790,10,1800001|500000,0,10,1,0,50.0,26|7
60201,PrefabWmBoss5,image/icon_army/boss_navy,image/world_unit/boss_navy_big,image/world_unit/boss_navy_big,23,-16,Dark Guardian,The elite guards of the Eternal Land. You need to rally with allies in Attack Parties to gain Individual honor and rewards,10,10790,10,1800001|323001|520001|520002,0,20,1,0,30.0,26|5
31,PrefabWmEnemy3,image/icon_army/shijieboss,image/world_unit/boss3_big,image/world_unit/boss3_big,,,Army Overlord,Evil machines on land, challenge it to get rewards,0,10790,10,,0,0,2,0,,
32,PrefabWmBoss5,image/icon_army/boss_navy,image/world_unit/boss_navy_big,image/world_unit/boss_navy_big,,,Naval overlord,Evil machines at sea, challenge it to get rewards,0,10790,10,,0,0,2,0,,
33,Effect_boss_kongjun_idle,image/icon_army/Effect_boss_kongjun,image/world_unit/Effect_boss_kongjun_big,image/world_unit/Effect_boss_kongjun_big,,,Air Force Overlord,Evil machines in the air, challenge it to get rewards,0,10790,10,,0,0,2,0,,
41,PrefabWmEnemy1,image/icon_army/boss1,image/world_unit/boss1_big,image/world_unit/boss1_big,23,-9,105717,112216,5,10790,10,323001|300001|301001|302001|303001,21,5,1,1,,
42,PrefabWmEnemy2,image/icon_army/boss2,image/world_unit/boss2_big,image/world_unit/boss2_big,23,-16,105719,112217,5,10790,10,323001|310001|311001|312001|313001,21,5,1,2,,
43,PrefabWmEnemy3,image/icon_army/boss3,image/world_unit/boss3_big,image/world_unit/boss3_big,32,-32,105721,112218,5,10790,10,323001|320001|321001|322001,21,5,1,3,,
44,PrefabNewEnemy2,image/icon_army/yurenboss,image/world_unit/boss_yuren,image/icon_assemble/yuren_boss,23,-9,Warhammer-4K,The huge robot developed by the Dr. Evil. You'll find it undefeatable unless you have at least 1 partner to help you.,10,10790,10,323001|1800001|520001|520002,22,20,1,0,30.0,
1215001,PrefabEnemyD_B1,PrefabEnemyD_B1,PrefabEnemyD_B1_MAX,PrefabEnemyD_B1_MAX,23,-9,105721,105721,5,10790,10,323001|300001|301001|302001|303001,31,5,1,1,1.0,
1215101,PrefabEnemyD_S1,PrefabEnemyD_S1,PrefabEnemyD_S1_MAX,PrefabEnemyD_S1_MAX,23,-9,105719,105719,5,10790,10,323001|300001|301001|302001|303001,31,5,1,1,1.0,
1215201,PrefabEnemyD_A1,PrefabEnemyD_A1,PrefabEnemyD_A1_MAX,PrefabEnemyD_A1_MAX,23,-9,105717,105717,5,10790,10,323001|300001|301001|302001|303001,31,5,1,1,1.0,
801,fortress_monster_model_1,image/world_unit/fortress_monster1,image/world_unit/fortress_monster1,image/world_unit/fortress_monster1,23,-9,Guard - Army,Defeat the enemy may drop the following rewards,5,10790,10,3610006|323001|500000,0,5,1,1,,
802,fortress_monster_model_2,image/world_unit/fortress_monster2,image/world_unit/fortress_monster2,image/world_unit/fortress_monster2,23,-9,Guard - Navy,Defeat the enemy may drop the following rewards,5,10790,10,3610007|323001|500000,0,5,1,2,,
803,fortress_monster_model_3,image/world_unit/fortress_monster3,image/world_unit/fortress_monster3,image/world_unit/fortress_monster3,23,-9,Guard - Air Force,Defeat the enemy may drop the following rewards,5,10790,10,3610008|323001|500000,0,5,1,3,,
804,PrefabWmBoss5,image/icon_army/boss_navy,image/world_unit/boss_navy_big,image/world_unit/boss_navy_big,23,-16,Guard - Warlord,Defeat the enemy may drop the following rewards,10,10790,10,3610009|323001|520001,0,20,1,0,,
601,PrefabWmBoss5,image/icon_army/boss_navy,image/world_unit/boss_navy_big,image/world_unit/boss_navy_big,,,Ruins Guard,Evil machines on land, challenge it to get rewards,0,10790,10,,0,0,2,0,,
602,PrefabWmBoss5,image/icon_army/boss_navy,image/world_unit/boss_navy_big,image/world_unit/boss_navy_big,,,Ruins Guard,Evil machines on land, challenge it to get rewards,0,10790,10,,0,0,2,0,,
603,PrefabWmBoss5,image/icon_army/boss_navy,image/world_unit/boss_navy_big,image/world_unit/boss_navy_big,,,Ruins Guard,Evil machines on land, challenge it to get rewards,0,10790,10,,0,0,2,0,,
901,fortress_monster_model_1,image/world_unit/fortress_monster1,image/world_unit/fortress_monster1,image/world_unit/fortress_monster1,23,-9,Ruins Guard,Rally required,5,10790,10,3610006|323001|500000,1,20,1,1,1.0,
902,fortress_monster_model_1,image/world_unit/fortress_monster1,image/world_unit/fortress_monster1,image/world_unit/fortress_monster1,23,-9,Ruins Guard,Rally required,5,10790,10,3610006|323001|500000,1,20,1,1,1.0,
903,fortress_monster_model_1,image/world_unit/fortress_monster1,image/world_unit/fortress_monster1,image/world_unit/fortress_monster1,23,-9,Ruins Guard,Rally required,5,10790,10,3610006|323001|500000,1,20,1,1,1.0,
51,PrefabWmEnemy1,image/icon_army/boss1,image/world_unit/boss1_big,image/world_unit/boss1_big,23,-9,105717,112216,5,10790,10,323001|300001|301001|302001|303001,41,5,1,1,1.0,
52,PrefabWmEnemy2,image/icon_army/boss2,image/world_unit/boss2_big,image/world_unit/boss2_big,23,-16,105719,112217,5,10790,10,323001|310001|311001|312001|313001,41,5,1,2,1.0,
53,PrefabWmEnemy3,image/icon_army/boss3,image/world_unit/boss3_big,image/world_unit/boss3_big,32,-32,105721,112218,5,10790,10,323001|320001|321001|322001,41,5,1,3,1.0,
91,PrefabWmEnemyRadar,image/icon_army/radarguaiwu1,image/world_unit/radarguaiwu2_big,image/world_unit/radarguaiwu2_big,23,-9,Dark Legion Remnant,112216,5,10790,10,323001|300001|301001|302001|303001,0,5,1,1,,
92,PrefabWmEnemyRadar,image/icon_army/radarguaiwu1,image/world_unit/radarguaiwu2_big,image/world_unit/radarguaiwu2_big,23,-16,Dark Legion Remnant,112217,5,10790,10,323001|310001|311001|312001|313001,0,5,1,2,,
93,PrefabWmEnemyRadar,image/icon_army/radarguaiwu1,image/world_unit/radarguaiwu2_big,image/world_unit/radarguaiwu2_big,32,-32,Dark Legion Remnant,112218,5,10790,10,323001|320001|321001|322001,0,5,1,3,,
94,PrefabBossRadar,image/icon_army/radarboss1,image/world_unit/radarboss2,image/world_unit/radarboss2,23,-9,Dark Legion Fort,That crazy old man wished for me to just stand here doing nothing...?! Take at least 1 fellow with you to fight me.,10,10790,10,323001|1800001|520001|520002,0,20,1,0,,
17,PrefabWmBoss17,image/icon_army/lianmengboss17,image/world_unit/lianmengboss,image/world_unit/lianmengboss,,,Alliance Droid,Alliance-exclusive. Kill it to get exclusive rewards!,5,1800,10,3300001,0,20,1,0,,
18,PrefabWmBoss18,image/icon_army/lianmengboss18,image/world_unit/lianmengboss,image/world_unit/lianmengboss,,,Alliance Droid,Alliance-exclusive. Kill it to get exclusive rewards!,5,1800,10,3300001,0,20,1,0,,
19,PrefabWmBoss19,image/icon_army/lianmengboss19,image/world_unit/lianmengboss,image/world_unit/lianmengboss,,,Alliance Droid,Alliance-exclusive. Kill it to get exclusive rewards!,5,1800,10,3300001,0,20,1,0,,
20,PrefabWmBoss20,image/icon_army/lianmengboss20,image/world_unit/lianmengboss,image/world_unit/lianmengboss,,,Alliance Droid,Alliance-exclusive. Kill it to get exclusive rewards!,5,1800,10,3300001,0,20,1,0,,
9001,PrefabWmBoss3,image/icon_army/yurenboss_search,image/icon_army/yurenboss_search,image/icon_army/yurenboss_search,23,-9,Dark Mech,The Mech is the scientific research achievement in the Eternal Land. You can get Individual honor and rewards when attacking,5,10790,10,1800001|500000,11,10,1,0,50.0,26
9002,PrefabWmBoss5,image/icon_army/boss_navy,image/world_unit/boss_navy_big,image/world_unit/boss_navy_big,23,-16,Dark Guardian,The elite guards of the Eternal Land. You need to rally with allies in Attack Parties to gain Individual honor and rewards,10,10790,10,1800001|323001|520001|520002,12,20,1,0,30.0,26
4001,PrefabWmEnemy3,image/icon_army/shijieboss,image/world_unit/boss3_big,image/world_unit/boss3_big,,,Marshal - World Boss,The Marshal of the Dark Army riding on a deadly warbot. Defeat him to get Component Chests.,5,3600,10,,0,5,2,0,,
4002,PrefabWmEnemy3,image/icon_army/shijiebossH,image/world_unit/boss3_big,image/world_unit/boss3_big,,,Admiral - World Boss,The Admiral of the Dark Navy riding on a deadly warbot. Defeat him to get Component Chests.,5,3600,10,,0,5,2,0,,
4003,PrefabWmEnemy3,image/icon_army/shijiebossK,image/world_unit/boss3_big,image/world_unit/boss3_big,,,General - World Boss,The General of the Dark Air Force riding on a deadly warbot. Defeat him to get Component Chests.,5,3600,10,,0,5,2,0,,
4005,,image/icon_army/weizhentianBoss,,,,,Megatron,105724,0,10790,10,,0,0,2,0,,
