id,type,npc_name,npc_nameplate_color,npc_content,next_id,hero_id,npc_pic,npc_colortext,plantform_opened,language_opened,dub_audio_name,waiting_time,linkage_audio
int,int,string,int,string,int,int,string,string,string,string,string,int,int
12,3,Sergeant,0,Well done, commander! You have joined an Alliance. Next, allow me to introduce you to the features of an Alliance.,0,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Well done, commander! You have joined an Alliance. Next, allow me to introduce you to the features of an Alliance.,,1
13,3,Sergeant,0,All for one, one for all. We are only as strong as we are united. Let's make this Alliance a better place!,0,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/All for one, one for all. We are only as strong as we are united. Let's make this Alliance a better place!,,1
14,3,Black Widow,0,The surrounding area is safe now, commander. Finally!! We can research new technologies and develop strategies now.,0,,ea_prefab/hero/bust/hero_tachie001,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/The surrounding area is safe now, commander. Finally!! We can research new technologies and develop strategies now.,,
15,3,Black Widow,0,Raise the level of the War Room and unlock new units and techs. Please level up to Lv.6,0,,ea_prefab/hero/bust/hero_tachie001,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Raise the level of the War Room and unlock new units and techs. Please level up to Lv.6,,
16,3,Sergeant,0,The only way to expand our base is to unlock and take over new areas. We can gather and recruit the militia forces in each unlocked area,17,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/The only way to expand our base is to unlock and take over new areas. We can gather and recruit the militia forces in each unlocked area,,1
17,3,Sergeant,0,As the level required to unlock the area increases, the level of local militia forces will be higher as well.,0,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/As the level required to unlock the area increases, the level of local militia forces will be higher as well.,,1
18,3,Sergeant,0,What??? We can collect gold directly from this facility! Commander. Such a convenient tech, get rich and count the coins!,19,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/What??? We can collect gold directly from this facility! Commander. Such a convenient tech, get rich and count the coins!,,1
19,3,Sergeant,0,<color=#000000>Oww. We can only collect from</c><color=#f77a0b> 10 Gold Mines</c><color=#000000>. This Tech is not perfect, but the higher the level of the Gold Mines, the more Gold we could collect.</c>,20,,ea_prefab/guide/dialog_npc_army_xinbing1,<color=#000000>Oww. We can only collect from</c><color=#f77a0b> 10 Gold Mines</c><color=#000000>. This Tech is not perfect, but the higher the level of the Gold Mines, the more Gold we could collect.</c>,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/<color=#000000>Oww. We can only collect from</c><color=#f77a0b> 10 Gold Mines</c><color=#000000>. This Tech is not perfect, but the higher the level of the Gold Mines, the more Gold we could collect.</c>,,1
20,3,Sergeant,0,Oh, see the gold mine has produced some gold. Tap to collect them!,0,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Oh, see the gold mine has produced some gold. Tap to collect them!,,1
21,3,Sergeant,0,The War Hall is for setting up troops and viewing reinforcements. Upgrade it to unlock the Military Exercises and compete with other commanders!,0,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/The War Hall is for setting up troops and viewing reinforcements. Upgrade it to unlock the Military Exercises and compete with other commanders!,,
22,3,Sergeant,0,<color=#000000>In the Gallery, we can view the</c><color=#f77a0b> Treasure Index</c><color=#000000> that records treasures around the world. Collect these treasures to get the corresponding stat bonus, get them before the Dark Legion!</c>,0,,ea_prefab/guide/dialog_npc_army_xinbing1,<color=#000000>In the Gallery, we can view the</c><color=#f77a0b> Treasure Index</c><color=#000000> that records treasures around the world. Collect these treasures to get the corresponding stat bonus, get them before the Dark Legion!</c>,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/<color=#000000>In the Gallery, we can view the</c><color=#f77a0b> Treasure Index</c><color=#000000> that records treasures around the world. Collect these treasures to get the corresponding stat bonus, get them before the Dark Legion!</c>,,
23,3,Black Widow,0,Thanks. I was ambushed by the Dark Legion when searching for the trail of the Tyrant. If that's your enemy too, I am willing to join you.,0,101,ea_prefab/hero/bust/hero_tachie001,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Thanks. I was ambushed by the Dark Legion when searching for the trail of the Tyrant. If that's your enemy too, I am willing to join you.,,
24,3,Black Widow,0,I heard that there were chests left by the Dark Legion when they were busy retreating. There should be precious cultural relics dropped around the world. Try open the chest now.,0,101,ea_prefab/hero/bust/hero_tachie001,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/I heard that there were chests left by the Dark Legion when they were busy retreating. There should be precious cultural relics dropped around the world. Try open the chest now.,,
25,3,Sergeant,0,I can't explain but, there is something about this mine... We got company! Defend our mine, we gotta fight for this!,0,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/I can't explain but, there is something about this mine... We got company! Defend our mine, we gotta fight for this!,,1
26,3,Sergeant,0,The Alliance Fortress is the basic building in the territory, and it is the core area for allies to gather and establish strategies! Build a Fortress for the Alliance now!,0,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/The Alliance Fortress is the basic building in the territory, and it is the core area for allies to gather and establish strategies! Build a Fortress for the Alliance now!,,
27,1,Sergeant,0,Commander, the near-island area has been inspected. Here is what we found out.,0,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Commander, the near-island area has been inspected. Here is what we found out.,,
28,1,Sergeant,0,It's the psycho from the Dark Legion! Commander, we need to send the Navy warships to stop him...,29,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/It's the psycho from the Dark Legion! Commander, we need to send the Navy warships to stop him...,,
29,3,Dr. Evil,0,Heheee!? You got me!,0,,ea_prefab/hero/bust/HomeTileBoss,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Heheee!? You got me!,,
30,3,Dr. Evil,0,Oops, too late. I've completed my research, and this garbage is yours now.,0,,ea_prefab/hero/bust/HomeTileBoss,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Oops, too late. I've completed my research, and this garbage is yours now.,,
31,3,Black Widow,0,Agent "Black Widow" reporting for duty. We've found some Tech Blueprints in the War Room.,32,101,ea_prefab/hero/bust/hero_tachie001,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Agent "Black Widow" reporting for duty. We've found some Tech Blueprints in the War Room.,,
32,3,Black Widow,0,Remnants morale seems to slip lower, let's take over the War Room!,0,101,ea_prefab/hero/bust/hero_tachie001,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Remnants morale seems to slip lower, let's take over the War Room!,,
38,3,Sergeant,0,Commander, a new hero wants to join us!,0,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Commander, a new hero wants to join us!,,
35,3,g123_guide_npc_1,0,g123_guide_Kochikame_1,36,,ea_prefab/hero/bust/hero_tachie2080_Kochikame_1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/g123_guide_Kochikame_1,,
36,3,g123_guide_npc_2,0,g123_guide_Kochikame_2,37,,ea_prefab/hero/bust/hero_tachie2082_Kochikame_1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/g123_guide_Kochikame_2,,
37,3,g123_guide_npc_1,0,g123_guide_Kochikame_3,0,,ea_prefab/hero/bust/hero_tachie2080_Kochikame_1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/g123_guide_Kochikame_3,,
39,3,Sergeant,0,Commander, the Hero Shards are used for upgrading hero stars. Heroes will be stronger with more stars!,0,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Commander, the Hero Shards are used for upgrading hero stars. Heroes will be stronger with more stars!,,
40,3,Sergeant,0,Commander, the EXP Book are used for leveling your heroes. Let's have a try!,0,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Commander, the EXP Book are used for leveling your heroes. Let's have a try!,,
41,3,Sergeant,0,Commander, you need to place the units in your base before they can participate in the battle.,0,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Commander, you need to place the units in your base before they can participate in the battle.,,1
42,3,Sergeant,0,Commander, we have rebuilt the Arsenal! Wow, we could definitely make use of it!,0,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Commander, we have rebuilt the Arsenal! Wow, we could definitely make use of it!,,1
43,3,Sergeant,0,These are the Components. The right Components can eliminate enemies in a flash, and win more with less.,0,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/These are the Components. The right Components can eliminate enemies in a flash, and win more with less.,,1
44,3,Sergeant,0,And, you can also view the overall attribute bonus here. Hope it helps.,0,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/And, you can also view the overall attribute bonus here. Hope it helps.,,
45,1,Sergeant,0,Commander! It seems that we are all alone on this floating tile...Where are my fellows?,,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Commander! It seems that we are all alone on this floating tile...Where are my fellows?,,
46,1,Sergeant,0,Look over there! A floating tile is approaching!! The enemies!!!,,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Look over there! A floating tile is approaching!! The enemies!!!,,
47,1,Sergeant,0,Bro! You are safe now!!,48,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Bro! You are safe now!!,,
48,1,Sergeant,0,Commander, we need to gather together what we have, organize the armies, and also the Elite forces!,,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Commander, we need to gather together what we have, organize the armies, and also the Elite forces!,,
49,3,Machine Gunner,0,So what's the plan, Boss?,,,ea_prefab/guide/dialog_npc_army_yellow,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/So what's the plan, Boss?,,
50,1,Sergeant,0,Damn it! We have enemies on both sides!,51,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Damn it! We have enemies on both sides!,,
51,3,Machine Gunner,0,Now let's kick some butt!,0,,ea_prefab/guide/dialog_npc_army_yellow,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Now let's kick some butt!,,
52,1,Sergeant,0,Commander, the airport!! Let's head back home! Oh damn!! What the heck!?,53,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Commander, the airport!! Let's head back home! Oh damn!! What the heck!?,,
53,2,Dark Mech,1,I hope you enjoy this shower of bullets!,0,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/I hope you enjoy this shower of bullets!,,
54,1,Sergeant,0,May day may day!! This is 103 Alpha, Grid: 1301, 611...Over,55,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/May day may day!! This is 103 Alpha, Grid: 1301, 611...Over,,
55,3,Black Widow,0,Roger that! Follow the grid: 1301,611...I repeat, 1301, 611...3...2...1..Take off!…,0,101,ea_prefab/hero/bust/hero_tachie001,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Roger that! Follow the grid: 1301,611...I repeat, 1301, 611...3...2...1..Take off!…,,
56,1,Sergeant,0,Rocket Artillery will be key to winning the battle!,0,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Rocket Artillery will be key to winning the battle!,,
57,1,Sergeant,0,We are all set. Awaiting your command, commander!,0,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/We are all set. Awaiting your command, commander!,,
58,1,Sergeant,0,Boss! Get on the helicopter!!,0,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Boss! Get on the helicopter!!,,
1000,1,Sergeant,0,100228,1010,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/100228,,1
1010,1,Sergeant,0,100061,,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/100061,,1
1020,2,Dark Legion,0,100236,,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/100236,,
1030,1,Sergeant,0,100244,,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/100244,,1
1040,1,Sergeant,0,100249,1070,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/100249,,1
1050,1,Sergeant,0,100196,,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/100196,,1
1060,1,Sergeant,0,100197,,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/100197,,
1070,1,Sergeant,0,100062,,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/102065,,1
1080,,Sergeant,0,101187,,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/101187,,
1090,,Sergeant,0,101186,,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/101186,,
59,1,Sergeant,0,Insert it in the Army slot, increase Army's HP!,,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Insert it in the Army slot, increase Army's HP!,,1
60,3,Sergeant,0,To destroy Dr. Evil's Warhammer-4Ks, the Freedom League has developed a new weapon - The Lancer. Commander, before putting those Lancers into the battlefield, let's Test out how they work!!,0,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/<color=#000000>Allies are companions that could support you when you need a helping hand. Join an </c><color=#f77a0b>Alliance</c><color=#000000>, support each other </c><color=#f77a0b>and make a difference</c><color=#000000>!</c>,,
61,3,Black Widow,,Task Force...Th... Agent Black... please... swer...,62,,ea_prefab/hero/bust/hero_tachie001,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Task Force...Th... Agent Black... please... swer...,,
62,3,Sergeant,,Roger that, Agent. I repeat, roger! Conditions are foggy here and we have deviated from the target location, we need your assistance guiding us to the target!,63,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Roger that, Agent. I repeat, roger! Conditions are foggy here and we have deviated from the target location, we need your assistance guiding us to the target!,,1
63,3,Black Widow,,Inter...rence...uncont...tower...cloudy...,0,,ea_prefab/hero/bust/hero_tachie001,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Inter...rence...uncont...tower...cloudy...,,
64,3,Sergeant,,The interference is too strong. That large silhouette over there could be the giant tower the agent mentioned. Let's take a look.,0,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/The interference is too strong. That large silhouette over there could be the giant tower the agent mentioned. Let's take a look.,200,1
65,3,Sergeant,,newbase_gameplay033,0,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/newbase_gameplay033,,
66,3,Sergeant,,Look! Clouds are coming out from the top of the tower. What is happening here?,67,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Look! Clouds are coming out from the top of the tower. What is happening here?,,1
67,3,Black Widow,,...Elec....master...,68,,ea_prefab/hero/bust/hero_tachie001,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/...Elec....master...,,
68,3,Sergeant,,Agent, please repeat! where are you? We need your location, Agent? ah... oh no. It looks like we are on our own now.,69,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Agent, please repeat! where are you? We need your location, Agent? ah... oh no. It looks like we are on our own now.,,1
69,3,Sergeant,,Take cover! The dark legion is here. Prepare yourself!,0,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Take cover! The dark legion is here. Prepare yourself!,,1
70,3,Sergeant,,newbase_gameplay038,0,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/newbase_gameplay038,,
71,3,Sergeant,,Aha! That's right, dark force, you better run! Now I need to figure out how to stop this stupid machine.,72,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Aha! That's right, dark force, you better run! Now I need to figure out how to stop this stupid machine.,,1
72,3,Sergeant,,mmm Lucky! I wonder what it is?,0,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/mmm Lucky! I wonder what it is?,,1
73,3,Sergeant,,newbase_gameplay041,0,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/newbase_gameplay041,,
74,3,Black Widow,,Well done, Task Force. We have learned the giant tower is the Dark Empire's secret weapon. It interferes with the magnetic field and lets the Dark Empire control the weather. I call it the Atmospheric Manipulator.,75,,ea_prefab/hero/bust/hero_tachie001,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Well done, Task Force. We have learned the giant tower is the Dark Empire's secret weapon. It interferes with the magnetic field and lets the Dark Empire control the weather. I call it the Atmospheric Manipulator.,,
75,3,Sergeant,,Agent, Finally! The signal is back. What is the plan?,76,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Agent, Finally! The signal is back. What is the plan?,,1
76,3,Black Widow,,Hurry! Clear out all hostiles around the Tower, I'll contact you later. Remember to remove everything you can from the tower.,0,,ea_prefab/hero/bust/hero_tachie001,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Hurry! Clear out all hostiles around the Tower, I'll contact you later. Remember to remove everything you can from the tower.,,
77,3,Black Widow,,Commander! Now our mission is to take over the island and reveal all the secrets it has to offer.,78,,ea_prefab/hero/bust/hero_tachie001,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Commander! Now our mission is to take over the island and reveal all the secrets it has to offer.,,
78,3,Black Widow,,And other side quests. Make sure to regularly check the task board.,0,,ea_prefab/hero/bust/hero_tachie001,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/And other side quests. Make sure to regularly check the task board.,,
79,4,,,newbase_gameplay047,0,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/newbase_gameplay047,,
80,3,Sergeant,,What is it?! Lightning!,81,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/What is it?! Lightning!,,1
81,3,Black Widow,,Thunder. Agent Black Widow reporting for duty.,82,,ea_prefab/hero/bust/hero_tachie001,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Thunder. Agent Black Widow reporting for duty.,,
82,3,Sergeant,,Mission completed. Agent, shall we head back?,83,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Mission completed. Agent, shall we head back?,,1
83,3,Black Widow,,The task continues. Dark Legion has a command post right there. After I destroy all the enemies I will share more information.,0,,ea_prefab/hero/bust/hero_tachie001,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/The task continues. Dark Legion has a command post right there. After I destroy all the enemies I will share more information.,,
88,3,Black Widow,,Commander, somebody's calling for help.. Over there, in the water!,89,,ea_prefab/hero/bust/hero_tachie001,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Commander, somebody's calling for help.. Over there, in the water!,,
89,3,Sergeant,,I hope he is still breathing. Come on boys, let's go and check!,0,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/I hope he is still breathing. Come on boys, let's go and check!,,1
90,3,Black Widow,,newbase_gameplay091,0,,ea_prefab/hero/bust/hero_tachie001,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/newbase_gameplay091,,
91,3,Sergeant,,Looking at all the supplies and buildings, it would seem there is almost no room left on this island.,92,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Looking at all the supplies and buildings, it would seem there is almost no room left on this island.,,1
92,3,Black Widow,,There are still some Dark Legion remnants on the South Island. We will do our best to eliminate them so we can expand our territory. Win-win!,0,,ea_prefab/hero/bust/hero_tachie001,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/There are still some Dark Legion remnants on the South Island. We will do our best to eliminate them so we can expand our territory. Win-win!,,
93,3,guide_10013,,newbase_gameplay094,0,,ea_prefab/guide/dialog_npc_army_xinbing2,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/newbase_gameplay094,,
94,3,Sergeant,,A lot Agent! tons of supplies...,95,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/A lot Agent! tons of supplies...,,1
95,3,Black Widow,,These are the supplies left by the Dark Legion. We can definitely put them to good use!,0,,ea_prefab/hero/bust/hero_tachie001,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/These are the supplies left by the Dark Legion. We can definitely put them to good use!,,
96,3,,,newbase_gameplay097,0,,,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/newbase_gameplay097,,
97,3,Black Widow,,There is a building there! Hey you, take a look over there.,98,,ea_prefab/hero/bust/hero_tachie001,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/There is a building there! Hey you, take a look over there.,,
98,3,Sergeant,,Well it has to be me, right? Let's do this.,0,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Well it has to be me, right? Let's do this.,,1
99,3,Sergeant,,newbase_gameplay100,0,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/newbase_gameplay100,,
100,3,Sergeant,,Commander, I found those papers.,101,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Commander, I found those papers.,,1
101,3,Black Widow,,It is a Tech Plan! It is essential for Tech research. Let's upgrade the command post to level 5!,0,,ea_prefab/hero/bust/hero_tachie001,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/It is a Tech Plan! It is essential for Tech research. Let's upgrade the command post to level 5!,,
102,3,Black Widow,,Take over the Command Post so that we can research Tech, build Barracks, Shipyards, Air Bases and train more troops!!,0,,ea_prefab/hero/bust/hero_tachie001,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Take over the Command Post so that we can research Tech, build Barracks, Shipyards, Air Bases and train more troops!!,,
103,3,Sergeant,,Gold? It's a gold coin, amazing.,104,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Gold? It's a gold coin, amazing.,,1
104,3,Black Widow,,Hey hey, easy. This is a Gold Harvester. The Dark Empire used it to refine gold and produce gold coins.,105,,ea_prefab/hero/bust/hero_tachie001,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Hey hey, easy. This is a Gold Harvester. The Dark Empire used it to refine gold and produce gold coins.,,
105,3,Sergeant,,Now they belong to the Freedom League. Let me try it.,0,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Now they belong to the Freedom League. Let me try it.,,1
106,3,Sergeant,,Gold mines are essential to produce more gold coins!,0,,ea_prefab/guide/dialog_npc_army_xinbing1,,appiosglobal|googleplay|chrome,en|jp|ru,sound/dub/Gold mines are essential to produce more gold coins!,,1
